"ユーザID","学校種別(使用）","文理（使用）","アルバイト経験有無","アルバイト経験先","アルバイト店番","アルバイト店名","アルバイト社員番号","アルバイト開始年月","アルバイト期間","[SPI3U]言語(得点)","[SPI3U]言語(段階)","[SPI3U]非言語(得点)","[SPI3U]非言語(段階)","[SPI3U]基礎能力総合(得点)","[SPI3U]基礎能力総合(段階)","[SPI3U]Ａ対人接触","[SPI3U]Ｂ対人折衝","[SPI3U]Ｃ集団統率","[SPI3U]Ｄ協調協力","[SPI3U]Ｅサポート","[SPI3U]Ｆフットワーク","[SPI3U]Ｇスピーディー","[SPI3U]Ｈ予定外対応","[SPI3U]Ｉ自律遂行","[SPI3U]Ｊプレッシャー","[SPI3U]Ｋ着実持続","[SPI3U]Ｌ前例ない課題","[SPI3U]Ｍ企画アイデア","[SPI3U]Ｎ問題分析","[SPI3U]ダミー(1)","[SPI3U]ダミー(2)","[SPI3U]Ｗ創造重視","[SPI3U]Ｘ結果重視","[SPI3U]Ｙ調和重視","[SPI3U]Ｚ秩序重視","[SPI3U]応答態度Ａ","[SPI3U]ダミー","[SPI3Uフル]マネジメントスタイル座標","[SPI3U]内向-外向2","[SPI3U]調整-統率","[SPI3U]繊細-強靭","[SPI3U]維持‐変革","[SPI3U]活動系","[SPI3U]新卒R社員性格基準"
17000161,"大学","文系","勤務経験なし",,,,,,,55,5,54,5,55,5,3,4,5,2,3,3,4,4,5,5,4,2,3,4,3,6,2,4,4,4,1,1,"Z1",3,5,"4,5",3,"3,5","3,3"
17000171,"大学","文系","現在、勤務しています","B社",1536,"店名_147",671460,41548,"6カ月以上",29,1,35,2,30,2,3,2,2,4,4,3,3,3,2,2,2,2,1,1,1,4,2,2,3,3,1,1,"Y2",3,2,2,"2,5",3,"3,3"
17000184,"大学","文系","勤務経験なし",,,,,,,34,2,39,3,35,2,5,5,4,3,4,3,3,4,5,5,4,5,2,1,6,5,4,4,3,4,1,1,"X3",5,"4,5",5,"4,5",3,0
17000196,"大学","文系","過去に勤務していました","B社",,"店名_774",,40634,"6カ月以上",38,3,27,1,30,2,4,5,4,3,4,3,4,4,4,4,4,3,1,1,5,1,3,2,3,3,1,1,"Y2",4,4,"4,5","3,5","3,5",0
17000199,"大学","理系","勤務経験なし",,,,,,,55,5,55,5,"55,5",5,5,5,5,2,2,5,5,4,5,5,3,5,5,4,6,5,5,5,1,3,1,1,"X1",5,5,5,"4,5",5,"3,5"
17000201,"大学","文系","勤務経験なし",,,,,,,73,7,61,5,69,6,3,3,3,3,4,3,2,2,3,3,3,3,4,5,4,5,3,3,4,3,1,1,"Y2",3,3,3,"2,5","2,5","3,3"
17000202,"大学","文系","現在、勤務しています","A社",104,"店名_775",626098,41334,"6カ月以上",50,4,49,4,"49,5",4,4,4,5,3,3,4,5,4,3,3,2,4,3,3,5,3,4,4,3,1,1,1,"W2",4,4,"3,5",4,"4,5","3,3"
17000203,"大学","文系","勤務経験なし",,,,,,,55,5,59,5,58,5,4,3,3,5,5,3,3,3,2,3,3,1,3,3,2,2,3,2,5,2,1,1,"Y1",4,"2,5",3,2,3,4
17000208,"大学","文系","現在、勤務しています","B社",1470,"店名_776",672492,41548,"6カ月以上",51,4,43,3,"46,5",4,3,4,4,2,2,3,3,3,3,3,1,5,3,2,5,2,3,3,2,2,1,1,"W4",3,"3,5","3,5",4,3,"2,5"
17000212,"大学","文系","勤務経験なし",,,,,,,20,1,27,1,"20,5",1,3,2,3,3,4,3,2,3,3,3,3,3,1,1,4,5,3,2,3,4,1,1,"Z1",3,3,"2,5",3,"2,5","3,3"
17000215,"大学","文系","勤務経験なし",,,,,,,66,6,67,6,"68,5",6,3,4,4,3,3,4,5,4,4,3,3,5,5,5,6,5,5,4,4,3,1,1,"W4",3,4,"3,5","4,5","4,5","3,3"
17000224,"大学","文系","勤務経験なし",,,,,,,74,7,57,5,"67,5",6,4,4,4,3,3,4,4,3,3,4,3,4,4,4,4,2,4,4,2,3,1,1,"X1",4,"3,5",4,"3,5",4,"3,3"
17000247,"大学","文系","現在、勤務しています","B社",1554,"店名_777",692028,41244,"6カ月以上",46,4,48,4,"46,5",4,4,5,5,3,3,5,5,5,4,5,2,5,3,2,5,2,4,3,3,2,1,1,"W4",4,"4,5",5,5,5,"3,5"
17000253,"大学","文系","勤務経験なし",,,,,,,60,5,53,4,"57,5",5,5,4,3,5,3,5,4,5,3,4,3,4,5,3,5,2,4,2,3,3,1,1,"W4",5,3,4,"4,5","4,5",4
17000280,"大学院（修士）","理系","勤務経験なし",,,,,,,50,4,67,6,"59,5",5,4,3,3,4,3,4,3,3,3,3,2,4,3,4,3,4,3,3,3,2,1,1,"W4",4,3,3,"3,5","3,5","3,5"
17000283,"大学","文系","勤務経験なし",,,,,,,38,3,43,3,"39,5",3,3,3,3,2,2,3,3,3,4,3,4,4,2,2,5,4,2,3,2,3,1,1,"Z1",3,"3,5",3,"3,5",3,0
17000298,"大学","文系","勤務経験なし",,,,,,,52,4,55,5,54,5,3,4,5,5,5,3,5,4,3,3,3,3,3,4,4,6,3,4,5,3,1,1,"Y2",3,4,"3,5","3,5",4,4
17000301,"大学","文系","現在、勤務しています","B社",1397,"店名_412",693933,41609,"6カ月以上",46,4,52,4,"48,5",4,2,3,3,1,2,3,3,3,5,3,2,5,3,3,5,5,3,4,1,2,1,1,"X1",2,4,3,4,3,0
